項番	大項目	中項目	予定時刻		"対象サーバ
（作業端末）"	対象ユーザ	作業内容	確認内容／注意点
97	WSFCインストール	WSFCインストール			pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバマネージャー]をクリックする。	
98							サーバマネージャーの[管理]から[役割と機能の追加]をクリックする。	
99							「開始する前に」画面で、[次へ]をクリックする。	
100							"「インストールの種類」画面で、以下を設定し[次へ]をクリックする。

●役割ベースまたは機能ベースのインストール
〇リモートデスクトップサービスのインストール"	
101							"「対象サーバの選択」画面で、以下を設定し[次へ]をクリックする。

●サーバプールからサーバを選択
〇仮想ハードディスクから選択

サーバプール
pdn01.jpt.jptransport.co.jp xx.xx.xx.xx Microsoft Windows Server 2019 Standard Evaluation"	
102							「サーバの役割選択」画面で[フェールオーバクラスタリング]に☑をつける。	
103							「役割と機能の追加ウィザード」画面で、以下を設定[機能の追加]をクリックする。	
104							「機能の選択」画面で[フェールオーバクラスタリング]に☑がついていることを確認し、[次へ]をクリックする。	
105							"「インストールオプションの確認」画面で、以下を設定し[インストール]をクリックする。

■必要に応じてサーバを自動的に再起動する。"	
106							"「インストールの進行状況」画面で、以下が表示されるまで待つ。

pdn01.jpt.jptransport.co.jpで再起動が保留になっています。対象サーバを再起動して、インストールを完了させる必要があります。"	
107							タスクバーの[Windows]から[電源アイコン]を選択し、[再起動]をクリックする。	
108							[その他(計画外)]を選択し、[続行]をクリックする。	
109		サーバサインイン			pdn01	jpit_admin	リモートデスクトップを起動する	
110							[コンピュータ]欄に[172.22.167.33]を入力し、[接続]をクリックする	
111							[Windowsセキュリティ]画面でユーザ名ととパスワードを入力し[OK]をクリックする	正常にサインインできること
112	.NET Framework 3.5 Featuresインストール				pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバマネージャー]をクリックする。	※ウェブメールや文書管理等の一括ダウンロードや、AppSuite等でテンプレートファイルをエクスポートする場合、「.NET Framework 3.5」がインストールされている必要があります。
113							メニューから[役割と機能の追加]をクリックする。	
114							[開始する前に]画面で[次へ]をクリックする。	
115							[インストールの種類の選択]画面で[●役割ベースまたは機能ベースのインストール]を選択し、[次へ]をクリックする。	
116							"「対象サーバの選択」画面で、以下を設定し[次へ]をクリックする。

●サーバプールからサーバを選択
〇仮想ハードディスクから選択

サーバプール
pdn01.jpt.jptransport.co.jp xx.xx.xx.xx Microsoft Windows Server 2019 Standard Evaluation"	
117							「サーバの役割選択」画面で、[次へ]をクリックする。	
118							[機能の選択]画面の[機能]一覧で[.NET Framework 3.5 Features]をチェックし、[次へ]をクリックする。	
119							[機能の選択]画面の[機能]一覧で[HTTPアクティブ化]をチェックし、[次へ]をクリックする。	
120							[機能の選択]画面の[機能]一覧で[非HTTPアクティブ化]をチェックし、[次へ]をクリックする。	
121							「インストールオプションの確認画面で、[インストール]をクリックする。	
122							"「インストールの進行状況」画面で、以下が表示されるまで待つ。

pdn01.jp.jptransport.co.jpで再起動が保留になっています。対象サーバを再起動して、インストールを完了させる必要があります。"	
123							タスクバーの[Windows]から[電源アイコン]を選択し、[再起動]をクリックする。	
124							[その他(計画外)]を選択し、[続行]をクリックする。	
125		サーバサインイン			pdn01	jpit_admin	リモートデスクトップを起動する	
126							[コンピュータ]欄に[172.22.167.33]を入力し、[接続]をクリックする	
127							[Windowsセキュリティ]画面でユーザ名ととパスワードを入力し[OK]をクリックする	正常にサインインできること
128	.NET Framework 3.5 Featuresインストール(Windows Updateで失敗した場合)	インストール資材の格納			pdn01	jpit_admin	DVDドライブにマウントされた「Windows Server OSインストールディスク」内の「<DVDドライブ名>\source\sxs」フォルダを「c:\jpitwork」フォルダ内にコピーする。	"「役割と機能の追加」でのインストール方法と「powershell」でのインストール方法があります。どちらか一方だけを実行すること。
またpowershellでインストールした場合は、「HTTPアクティブ化」や「非HTTPアクティブ化」は選択されませんので、「役割と機能の追加」から追加でインストールすること。"
129		「役割と機能の追加」でのインストール方法			pdn01	jpit_admin	タスクバーの[スタートメニュー]から[サーバマネージャー]をクリックする。	※ウェブメールや文書管理等の一括ダウンロードや、AppSuite等でテンプレートファイルをエクスポートする場合、「.NET Framework 3.5」がインストールされている必要があります。
130							メニューから[役割と機能の追加]をクリックする。	
131							[開始する前に]画面で[次へ]をクリックする。	
132							[インストールの種類の選択]画面で[●役割ベースまたは機能ベースのインストール]を選択し、[次へ]をクリックする。	
133							"「対象サーバの選択」画面で、以下を設定し[次へ]をクリックする。

●サーバプールからサーバを選択
〇仮想ハードディスクから選択

サーバプール
pdn01.jpt.jptransport.co.jp xx.xx.xx.xx Microsoft Windows Server 2019 Standard Evaluation"	
134							「サーバの役割選択」画面で、[次へ]をクリックする。	
135							[機能の選択]画面の[機能]一覧で[.NET Framework 3.5 Features]をチェックし、[次へ]をクリックする。	
136							[機能の選択]画面の[機能]一覧で[HTTPアクティブ化]をチェックし、[次へ]をクリックする。	
137							[機能の選択]画面の[機能]一覧で[非HTTPアクティブ化]をチェックし、[次へ]をクリックする。	
138							「インストールオプションの確認画面で、「代替ソースパスの指定」をクリックする。	
139							「代替ソース パスの指定」画面で以下のパスを入力し、[OK]をクリックする。	
140							「インストールオプションの確認画面で、[OK]をクリックする。	
141							"「インストールの進行状況」画面で、以下が表示されるまで待つ。

pdn01.jp.jptransport.co.jpで再起動が保留になっています。対象サーバを再起動して、インストールを完了させる必要があります。"	
142							"「powershell」で以下のコマンドを実行する。
Get-WindowsFeature"	
143		「powershell」でのインストール方法			pdn01	jpit_admin	"「powershell」を起動し、以下のコマンドを実行する。

Install-WindowsFeature Net-Framework-Core -source c:\jpitwork\sxs"	
144							"「powershell」で以下のコマンドを実行する。
Get-WindowsFeature"	
145	フォルダ作成	C:\toolsフォルダ作成			pdn01	jpit_admin	[エクスプローラ]から[C:]を開く。	
146							[C:]フォルダ内で右クリック、[新規作成]を選択、[フォルダー]をクリックする。	
147							フォルダ名に[tools]を入力する。	
148		C:\jpitworkフォルダ作成			pdn01	jpit_admin	[エクスプローラ]から[C:]を開く。	
149							[C:]フォルダ内で右クリック、[新規作成]を選択、[フォルダー]をクリックする。	
150							フォルダ名に[jpitwork]を入力する。	
151	資材配置				pdn01	local-admin	"以下ファイルをc:\jpitworkフォルダに格納する。

・desknet's NEO V3.5R1.3のインストーラ
dneoV3.5R13pg93wn.exe

・desknet's NEO V3.5R1.2のオプションバッチファイル
dneooptV35R12pg93wn.exe

・desknet's NEO V3.5R1.4パッチのインストーラdneop4V35R14pg93wn.exe

・desknet's NEO V4.0R1.3アップデートファイルdneoupdateV4.0R13pg96wn.exe

・desknet's NEO V6.1R1.2アップデートファイル
dneoupdate_6.1.1.2_pg13win_x64/exe

・desknet's NEO V7.5R2.0アップデートファイル
dneoupdate_7.5.2.0_pg13win_x64/exe"	
152	サーバサインアウト	サーバサインアウト			pdn01	jpit_admin	開いているウインドウを全て閉じる	
153							サインアウトする	
154	事後作業	作業端末サインアウト			運用管理端末	adm001	作業端末のVPNを切断する	VPNが切断されていることを確認する
155							作業証跡の収集	
156							作業端末のログアウト	ログイン画面が表示されていることを確認する


項番	大項目	中項目	予定時刻		"対象サーバ
（作業端末）"	対象ユーザ	作業内容	確認内容／注意点
			開始	終了				
1	VPN接続				運用管理端末	adm001	端末にログイン（ユーザID：adm001）	
2							VPNに接続する（VPN名：VPN-dneo）	VPNが接続されていること
3	サーバサインイン				pdn01	local-admin	リモートデスクトップを起動する	
4							[コンピュータ]欄に[172.22.167.33]を入力し、[接続]をクリックする	
5							[Windowsセキュリティ]画面でユーザ名ととパスワードを入力し[OK]をクリックする	正常にサインインできること
6	タスクスケジューラー無効化				pdn01	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[タスクスケジューラ]をクリックする。	
7							"左ペインから「イベントビューアータスク」までノードを開き、クリックする。

タスク スケジューラ(ローカル)
  タスク スケジューラ ライブラリ
    Microsoft
    イベント ビューアー タスク"	
8							タスク名「IIS_PG_service_start」タスク上で右クリックし、[無効]をクリックする。	状態が無効になったことを確認する。
9							タスク名「IIS_PG_service_stop」タスク上で右クリックし、[無効]をクリックする。	状態が無効になったことを確認する。
10	サービス停止				pdn01	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[サービス]をクリックする。	
11							"以下のサービス名を右クリックし、[停止]をクリックする。

・postgresql-x64-9.3 - PostgreSQL Server 9.3
・World Wide Web 発行サービス"	"サービスの停止・開始のWindowsタスクスケジュールが無効になっている場合は、手動で停止する必要がある。
サービスが停止したことを確認する。"
12	サーバサインイン	サーバサインイン			pdn02	loca-admin	リモートデスクトップを起動する	
13							[コンピュータ]欄に[172.22.167.34]を入力し、[接続]をクリックする	
14							[Windowsセキュリティ]画面でユーザ名ととパスワードを入力し[OK]をクリックする	正常にサインインできること
15	タスクスケジューラー無効化				pdn02	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[タスクスケジューラ]をクリックする。	
16							"左ペインから「イベントビューアータスク」までノードを開き、クリックする。

タスク スケジューラ(ローカル)
  タスク スケジューラ ライブラリ
    Microsoft
    イベント ビューアー タスク"	
17							タスク名「IIS_PG_service_start」タスク上で右クリックし、[無効]をクリックする。	状態が無効になったことを確認する。
18							タスク名「IIS_PG_service_stop」タスク上で右クリックし、[無効]をクリックする。	状態が無効になったことを確認する。
19	サービスの停止				pdn02	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[サービス]をクリックする。	
20							"以下のサービス名を右クリックし、[停止]をクリックする。

・postgresql-x64-9.3 - PostgreSQL Server 9.3"	"サービスの停止・開始のWindowsタスクスケジュールが無効になっている場合は、手動で停止する必要がある。
サービスが停止したことを確認する。

※「World Wide Web 発行サービス」は停止しない。
※停止している場合は、desknet'sのインストーラーでWEBサーバのインストールのオプションが表示される。"
21	WSFCノード切り替え	現在のアクティブノードの確認			pdn01	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[フェールオーバークラスターマネージャー]をクリックする。	
22							「フェールオーバークラスターマネージャー」画面の左ペインの[フェールオーバークラスターマネジャー]で右クリックし、[クラスターへの接続]をクリックする。	
23							「クラスターの選択」画面で、[OK]をクリックする。	左ペインに「pdn00.jpt.transport.co.jp」のノードが表示されること。
24							左ペインの「pdn00.jpt.transport.co.jp」ノードを展開し、「記憶域」の配下の[ディスク]をクリックする。	"所有者ノードが[pdn01]になっていることを確認する。
※所有者ノードが[pdn02]の場合は、切り替え手順は不要です。"
25							「エクスプローラー」を起動し、F、G、Hドライブがマウントされていることを確認する。	※F、G、Hドライブがマウントされていない場合は、アクティブノードの切り替えが必要。
26							左ペインの「pdn00.jpt.transport.co.jp」で右クリックし、[他のアクション] - [コア クラスターリソースの移動] - [ノードの選択]をクリックする。	
27							「クラスター リソースを移動する」画面で、pdn02を選択し、[OK]をクリックする。	
28							左ペインの「pdn00.jpt.transport.co.jp」ノードを展開し、「記憶域」の配下の[ディスク]をクリックする。	所有者ノードが[pdn02]になったことを確認する。
29	PostgreSQLデータフォルダリネーム				pdn02	local-admin	「エクスプローラー」を起動し、「g:\」に遷移する。	
30							「PostgreSQL」フォルダ名を「__PostgreSQL」に変更する。	
31	PostgreSQLアンインストール				pdn02	local-admin	"「エクスプローラー」を起動し、以下のパスに遷移する。

c:\Program Files\PostgreSQL\9.3\"	
32							「c:\Program Files\PostgreSQL\9.3」フォルダ内の「uninstall-postgresql.exe」をダブルクリックする。	
33							「Question Do you want to uninstall PostgreSQL and all of its modeules?」画面が表示されるので、[Yes]をクリックする。	
34							「Warning The data directory(G:\PostgreSQL\9.3\data)and service user account(pgsql) have not been removed.」画面が表示されるので、[OK]をクリックする。	サービス用のアカウント「pgsql」とPostgreSQLのデータは削除されませんというメッセージが表示されます。
35							「Info Uninstallation completed」画面が表示されるので、[OK]をクリックする。	
36							[スタート]をクリックし、[歯車マーク(設定)]をクリックする。	
37							「Windowsの設定」画面の「アプリ」をクリックする。	
38							「アプリと機能」画面に「PostgreSQL 9.3」が存在しないことを確認する。	
39	desknet'sフォルダリネーム	desknet's「file」フォルダリネーム			pdn02	local-admin	「エクスプローラー」を起動し、「g:\dneo」に遷移する。	
40							「dneo」フォルダ内の「file」フォルダ名を「dneo3.5_file」に変更する。	
41		desknet's「wmldata」フォルダリネーム			pdn02	local-admin	「エクスプローラー」で、「h:\dneo」に遷移する。	
42							「dneo」フォルダ内の「wmldata」フォルダ名を「dneo3.5_wmldata」に変更する。	
43	desknet's NEO3.5R1.3アンインストール	desknet's NEO3.5R1.3アンインストール			pdn02	local-admin	「アプリと機能」画面の「desknet's NEO オプションパッチ」をクリックし、[アンインストール]をクリックする。	
44							「このアプリとその関連情報がアンインストールされます。」画面で、[アンインストール]をクリックする。	
45							「deslmet's NEO オプションパッチ - InstallShield Wizard  選択したアプリケーション、およぼすべての機能を完全に削除しますか？」画面で、[はい]をクリックする。	
46							「アンインストール完了」画面で、[完了]をクリックする。	
47							「アプリと機能」画面に「desknet's NEO オプションパッチ」が存在しないことを確認する。	
48							「アプリと機能」画面の「desknet's NEO」をクリックし、[アンインストール]をクリックする。	
49							「このアプリとその関連情報がアンインストールされます。」画面で、[アンインストール]をクリックする。	
50							「desknet's NEO オプションパッチ - InstallShield Wizard  選択したアプリケーション、およぼすべての機能を完全に削除しますか？」画面で、[はい]をクリックする。	
51							「アンインストール完了」画面で、[完了]をクリックする。	
52							「アプリと機能」画面に「desknet's NEO」が存在しないことを確認する。	
53		ローカルのdneoフォルダ削除			pdn02	local-admin	「エクスプローラー」で、「c:\inetpub\Scripts」に遷移する。	
54							"「Scripts」フォルダ内の以下のフォルダを削除する。

dneo
dneosp"	
55	desknet's NEO  V7.5R2.0インストール	desknet's NEO V7.5R2.0インストール			pdn02	local-admin	"
「エクスプローラー」で、以下のフォルダに遷移
c:\jpitwork\desknet's NEO インストーラ\desknet'sv7.5R2.0インストーラー"	
56							dneo_7.5.2.0_pg13win_x64.exeを右クリックし[管理者として実行]をクリックする。	
57							「desknet's NEO V7.5R2.0のインストールを行います」画面で、[次へ]をクリックする。	
58							"「使用許諾契約」画面で、以下のチェックを行い、[次へ]をクリックする。

●使用許諾契約の全条項に同意します。"	
59							「desknet's NEO インストール内容の入力」画面で、[PostgreSQLのインストールアイコン]をクリックする。	
60							"「PostgreSQLのインストール」画面で以下を設定し[次へ]をクリックする。

〇標準インストール
●カスタムインストール"	
61							「desknet's NEO インストール内容の入力」画面で、PostgreSQLのインストール下部に[カスタムインストール]が表記されていることを確認し[次へ]をクリックする。	
62							「PostgreSQLインストール先選択」画面で、[次へ]をクリックする。	
63							"「PostgreSQL実行ユーザ情報入力」画面で、以下の情報が入力されていることを確認し[次へ]をクリックする。

ユーザ名:pgsql
パスワード:NjATZyYO6wn8Ppg"	
64							「PostgreSQLデータベース保存先選択」画面で、[変更]をクリックする。	
65							「フォルダーの選択」画面で、[g:\PostgreSQL\13\data]を入力し[OK]をクリックする。	
66							「PostgreSQLデータベース保存先選択」画面で、desknet's NEO データベース保存先下部に[g:\PostgreSQL\13\data]が表記されていることを確認し、[次へ]をクリックする。	
67							「PostgreSQポート番号の入力」画面で、ポート番号に[5432]になっていることを確認し[次へ]をクリックする。	
68							「質問」画面で、[はい]をクリックする。	
69							「desknet's NEOのインストールを開始します」画面に表示されている、「現在の設定」内容をすべてコピーし、「c:\jpitwork\desknet's 現在の設定.txt」を作成し保存する。	
70							「desknet's NEOのインストールを開始します」画面で[次へ]をクリックする。	
71							「インストール完了」画面で[完了]をクリックする。	
72							"[コントロールパネル]→[プログラム]→[プログラムと機能]を開き、以下プログラムがインストールされていることを確認する。

名前:desknet's NEO　バージョン:V7.5R2.0"	
73		動作確認			pdn02	local-admin	"[internet explorer]を起動し、以下のURLにアクセスする

http://pdn02:80/scripts/dneo/dneo.exe"	"エラー別対処方法
サイトが見つかりません。→IISのサービスが停止
データベースに問題があります。
→以下のフォルダにフルコントロールでeveryoneのアクセス権を追加
g:\dneo
h:\dneo
g:\PostgreSQL\13\data"
74							ログイン画面下部に[desknet's NEO V7.5R2.0]と表記されていることを確認する。	
75							「internet explorer」のアドレス欄の先頭のアイコンをデスクトップにドラッグして、ショートカットを作成する。	
76							"以下の情報を利用してログインする。

組織：[情報システム室]
指名：[責任者]
パスワード：[]※空欄
□この情報をブラウザに保存する"	desknet'sにログインできることを確認する。
77							[キャビネット]をクリックする。	
78							"以下のメッセージが表示されるので、[自動~]をクリックする。

「フォルダが作成されていません。
・自動でフォルダの作成とフィルタの設定を行う
・手動でフォルダの作成を行う」
が表示されるので、自動を~を選ぶこと"	
79							「確認」画面で[はい]をクリックする。	
80							"以下のフォルダまで展開する。

-ルートフォルダ
  +desknet's NEO
    +ネオツイ"	
81							「ネオツイ」のフォルダを選択し、[ファイルの追加]をクリックする。	
82							"「ファイルの追加」画面で、以下の情報とファイルをドラッグして[追加]をクリックする。

タイトル：[VUP検証]
ファイル：[c:\jpitwork\desknet's 現在の設定.txt]"	※ファイルのドラッグでエラーが発生する場合は、c:\inetpub\Scripts\dneo\dataのフォルダにフルコントロールでeveryoneのアクセス権を追加してください。
83							「キャビネット」の「ネオツイ」に「VUP検証」が登録されたことを確認する。	
84							「VUP検証」をクリックし、[desknet's 現在の設定.txt]をクリックする。	
85							ファイルを開くか、保存するための確認が表示されるので、デスクトップに保存する。	
86							保存したファイルが開き、内容が正しく閲覧できるとを確認する。	
87	dneoフォルダ変更作業	IISサービス停止			pdn02	local-admin	タスクバーの[Windows]→[サーバーマネージャー]をクリックする。	
88							[ツール]→[インターネットインフォメーションサービス（IIS）マネージャー]をクリックする。	
